Site,Depth_m,Temperature,Habitat,Habitat_simplified,Aspect_descriptive,Aspect_scale,Benthic_Complexity,browser,cleaner,corallivore,cropper/grazer,detritivore,excavator,macro-invertivore,micro-invertivore,NA,pisci-invertivore,piscivore,planktivore,scraper,spongivore,omnivore,invertivore-sessile,invertivore-mobile,All_herbs
FLIN-01,9.9,28.3,outer_reef,outer_slope,moderate_slope,2,4,0,0,1,2,0,5,3,4,0,0,1,29,1,0,0,0,0,8
FLIN-01,15.3,28.1,outer_reef,outer_slope,steep_slope,3,4,0,0,0,0,2,1,0,2,0,0,0,52,1,0,0,0,0,4
FLIN-01,20.4,27.9,outer_reef,outer_slope,steep_slope,3,4,1,0,0,0,3,0,0,1,3,0,0,5,1,1,0,0,0,5
FLIN-01,25.3,27.9,outer_reef,outer_slope,steep_slope,3,4,0,0,0,4,1,0,2,5,2,0,0,4,0,0,0,0,0,5
FLIN-01,30.2,27.8,outer_reef,outer_slope,steep_slope,3,4,0,0,2,3,4,0,1,0,0,0,0,10,0,0,0,0,0,7
FLIN-01,34.3,27.6,outer_reef,outer_slope,steep_slope,3,3,0,0,0,1,1,0,0,1,1,0,0,10,0,0,0,0,0,2
FLIN-01,34.3,29.2,outer_reef,outer_slope,steep_slope,3,3,0,0,1,1,0,0,0,4,6,2,1,24,0,0,0,0,0,1
FLIN-01,35.2,29.3,outer_reef,outer_slope,wall,4,3,0,0,1,2,1,0,0,3,3,1,0,32,0,0,0,0,0,3
FLIN-01,35.6,29.2,outer_reef,outer_slope,steep_slope,3,4,1,0,0,6,2,0,2,3,4,3,1,25,0,0,0,0,0,9
FLIN-01,37.1,29.2,outer_reef,outer_slope,wall,4,4,0,0,1,0,1,3,3,4,4,0,1,32,2,0,0,0,0,6
FLIN-01,41.5,27.6,outer_reef,outer_slope,steep_slope,3,4,0,0,0,3,0,0,0,2,1,3,3,7,0,0,0,0,0,3
FLIN-01,42.1,29.2,outer_reef,outer_slope,wall,4,3,0,0,1,1,0,0,0,0,2,1,0,21,0,0,0,0,0,1
FLIN-01,45.2,29.2,outer_reef,outer_slope,wall,4,4,0,0,1,0,0,1,0,0,0,0,3,47,0,0,0,0,0,1
FLIN-01,45.4,29.2,outer_reef,outer_slope,wall,4,3,0,0,0,0,0,0,0,0,4,2,0,15,0,0,0,0,0,0
FLIN-01,45.7,27.3,outer_reef,outer_slope,gentle_slope,1,3,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1
FLIN-01,51.1,27.3,outer_reef,outer_slope,gentle_slope,1,4,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0
FLIN-01,67.1,26.5,outer_reef,outer_slope,gentle_slope,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
FLIN-01,72.3,26.4,outer_reef,outer_slope,gentle_slope,1,4,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0
FLIN-01,77.4,26.3,outer_reef,outer_slope,gentle_slope,1,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
FLIN-01,81.9,26.2,outer_reef,outer_slope,gentle_slope,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FLIN-01,87.2,26.2,outer_reef,outer_slope,gentle_slope,1,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
FLIN-01,91.9,26.3,outer_reef,outer_slope,gentle_slope,1,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
FLIN-01,98.6,26.3,outer_reef,outer_slope,gentle_slope,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FLIN-02,40,29.2,lagoon,lagoon,flat,0,0,0,0,0,0,4,0,14,9,0,0,2,452,0,0,0,0,0,4
FLIN-02,40.2,29.2,lagoon,lagoon,flat,0,1,0,0,0,0,0,0,13,3,0,0,0,32,0,0,0,0,0,0
FLIN-02,41.5,29.2,lagoon,lagoon,flat,0,0,0,0,0,1,0,0,11,3,0,2,0,12,0,0,0,0,0,1
FLIN-02,42.1,29.3,lagoon,lagoon,flat,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FLIN-02,43.3,29.2,lagoon,lagoon,flat,0,0,0,0,0,10,0,0,12,4,7,1,1,13,0,0,0,0,0,10
FLIN-02,44,29.1,lagoon,lagoon,flat,0,1,0,0,0,3,0,1,1,4,4,1,0,3,0,0,0,0,0,4
FLIN-04,17.4,27.2,lagoon,lagoon,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FLIN-04,18.8,27.2,lagoon,lagoon,gentle_slope,1,0,0,0,0,16,0,0,33,1,0,10,1,21,6,0,6,0,0,22
FLIN-04,34.1,27.1,lagoon,lagoon,flat,0,1,3,0,0,0,2,1,2,5,0,0,0,43,0,0,0,0,0,6
FRAN-01,8,25.3,outer_reef,outer_slope,gentle_slope,1,1,0,0,2,2,1,0,3,6,0,0,0,2,0,2,0,0,0,3
FRAN-01,14,25.3,outer_reef,outer_slope,moderate_slope,2,1,1,0,1,0,10,0,0,7,0,1,0,8,1,0,0,0,0,12
FRAN-01,25,25.3,outer_reef,outer_slope,moderate_slope,2,2,3,0,4,6,4,0,1,2,0,1,1,13,2,0,0,0,0,15
FRAN-01,35,24.5,outer_reef,outer_slope,steep_slope,3,3,0,0,1,3,1,0,0,2,0,0,0,39,2,0,0,0,0,6
FRAN-01,42,25.4,outer_reef,outer_slope,steep_slope,3,1,0,0,0,0,0,0,1,4,0,0,0,33,0,0,3,0,0,0
FRAN-01,52,25.5,outer_reef,outer_slope,wall,4,1,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0
FRAN-01,62,25.5,outer_reef,outer_slope,wall,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FRAN-01,72,25.6,outer_reef,outer_slope,steep_slope,3,1,0,0,0,0,0,0,1,2,2,0,0,12,0,1,0,1,0,0
FRAN-01,79,25.5,outer_reef,outer_slope,steep_slope,3,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
FRAN-01,90,25.4,outer_reef,outer_slope,steep_slope,3,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0
FRED-01,34.8,28,inner_reef,inner_reef,gentle_slope,1,1,0,0,0,7,1,0,0,5,4,3,2,96,0,0,0,0,0,8
FRED-01,40,27.5,inner_reef,inner_reef,flat,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
FRED-02,24,27,lagoon,lagoon,gentle_slope,1,0,0,0,0,4,0,0,26,0,0,0,0,73,0,0,0,0,0,4
GEOR-01,32.6,25.4,outer_reef,outer_slope,gentle_slope,1,2,0,0,1,5,0,0,7,8,42,2,1,58,0,1,0,0,0,5
